word,key
北镇满族自治县,中国民族.内蒙古、东北地区
翁牛特旗,中国民族.内蒙古、东北地区
翁牛特蒙古族自治旗,中国民族.内蒙古、东北地区
翁牛特旗蒙族自治区,中国民族.内蒙古、东北地区
藏族,中国民族.西藏等地区
噶厦,中国民族.西藏等地区
基恰,中国民族.西藏等地区
宗,中国民族.西藏等地区
溪卡,中国民族.西藏等地区
扎仓,中国民族.西藏等地区
康村,中国民族.西藏等地区
门孜康,中国民族.西藏等地区
班禅堪布会议厅,中国民族.西藏等地区
囊马岗,中国民族.西藏等地区
博巴政府,中国民族.西藏等地区
西藏自治区筹备委员会,中国民族.西藏等地区
雪列空,中国民族.西藏等地区
朗孜辖,中国民族.西藏等地区
译仓,中国民族.西藏等地区
孜康,中国民族.西藏等地区
蒙藏院,中国民族.西藏等地区
蒙藏事务局,中国民族.西藏等地区
西陲宣化使公署,中国民族.西藏等地区
蒙藏委员会驻藏办事处,中国民族.西藏等地区
西藏驻京办事处,中国民族.西藏等地区
达赖驻京办事处,中国民族.西藏等地区
班禅驻京办事处,中国民族.西藏等地区
蒙藏学校,中国民族.西藏等地区
中国藏学研究中心,中国民族.西藏等地区
热振事件,中国民族.西藏等地区
达赖喇嘛,中国民族.西藏等地区
达赖,中国民族.西藏等地区
班禅额尔德尼,中国民族.西藏等地区
班禅,中国民族.西藏等地区
达赖十三世,中国民族.西藏等地区
土登嘉措,中国民族.西藏等地区
班禅九世,中国民族.西藏等地区
曲吉尼玛,中国民族.西藏等地区
班禅额尔德尼·确吉坚赞,中国民族.西藏等地区
班禅十世,中国民族.西藏等地区
贡觉仲尼,中国民族.西藏等地区
棍却仲尼,中国民族.西藏等地区
格达活佛,中国民族.西藏等地区
根敦群培,中国民族.西藏等地区
东嘎·洛桑赤列,中国民族.西藏等地区
头人,中国民族.西藏等地区
西藏三大领主,中国民族.西藏等地区
差岗地,中国民族.西藏等地区
乌拉,中国民族.西藏等地区
差巴,中国民族.西藏等地区
堆穷,中国民族.西藏等地区
朗生,中国民族.西藏等地区
囊生,中国民族.西藏等地区
人役税,中国民族.西藏等地区
噶伦,中国民族.西藏等地区
司伦,中国民族.西藏等地区
马基,中国民族.西藏等地区
代本,中国民族.西藏等地区
孜仲,中国民族.西藏等地区
仲译钦波,中国民族.西藏等地区
扎巴,中国民族.西藏等地区
霍尔,中国民族.西藏等地区
伙尔,中国民族.西藏等地区
藏军,中国民族.西藏等地区
羌塘,中国民族.西藏等地区
藏波战争,中国民族.西藏等地区
藏袍,中国民族.西藏等地区
氆氇,中国民族.西藏等地区
酥油茶,中国民族.西藏等地区
糌粑,中国民族.西藏等地区
青稞酒,中国民族.西藏等地区
唐卡,中国民族.西藏等地区
酥油花,中国民族.西藏等地区
哈达,中国民族.西藏等地区
噶乌,中国民族.西藏等地区
林卡,中国民族.西藏等地区
天葬,中国民族.西藏等地区
鸟葬,中国民族.西藏等地区
巴珠,中国民族.西藏等地区
卡垫,中国民族.西藏等地区
牛皮船,中国民族.西藏等地区
扎木聂,中国民族.西藏等地区
堆绣,中国民族.西藏等地区
擦擦,中国民族.西藏等地区
藏被,中国民族.西藏等地区
金册,中国民族.西藏等地区
门唐,中国民族.西藏等地区
藏学,中国民族.西藏等地区
中央人民政府和西藏地方政府关于和平解放西藏办法的协议,中国民族.西藏等地区
十七条协议,中国民族.西藏等地区
米拉日巴传,中国民族.西藏等地区
仓央嘉措情歌,中国民族.西藏等地区
西藏民族政教史,中国民族.西藏等地区
呼图克图,中国民族.西藏等地区
喇嘛,中国民族.西藏等地区
活佛,中国民族.西藏等地区
堪布,中国民族.西藏等地区
格西,中国民族.西藏等地区
转世,中国民族.西藏等地区
坐床,中国民族.西藏等地区
传召,中国民族.西藏等地区
攒召,中国民族.西藏等地区
藏文大藏经,中国民族.西藏等地区
甘珠尔,中国民族.西藏等地区
丹珠尔,中国民族.西藏等地区
本教,中国民族.西藏等地区
钵教,中国民族.西藏等地区
呼毕勒罕,中国民族.西藏等地区
甘丹墀巴,中国民族.西藏等地区
灵童,中国民族.西藏等地区
吹忠,中国民族.西藏等地区
垂仲,中国民族.西藏等地区
班丹拉姆,中国民族.西藏等地区
吉祥天母,中国民族.西藏等地区
护法神,中国民族.西藏等地区
嘛呢轮,中国民族.西藏等地区
转经筒,中国民族.西藏等地区
嘛呢堆,中国民族.西藏等地区
措钦,中国民族.西藏等地区
煨桑,中国民族.西藏等地区
筒钦,中国民族.西藏等地区
雍中,中国民族.西藏等地区
伏藏,中国民族.西藏等地区
风马,中国民族.西藏等地区
经幡,中国民族.西藏等地区
灵塔,中国民族.西藏等地区
本教大藏经,中国民族.西藏等地区
藏传佛教,中国民族.西藏等地区
喇嘛教,中国民族.西藏等地区
西藏佛教,中国民族.西藏等地区
噶当派,中国民族.西藏等地区
宁玛派,中国民族.西藏等地区
红教,中国民族.西藏等地区
萨迦派,中国民族.西藏等地区
花教,中国民族.西藏等地区
噶举派,中国民族.西藏等地区
白教,中国民族.西藏等地区
达波噶举,中国民族.西藏等地区
香巴噶举,中国民族.西藏等地区
噶玛噶举,中国民族.西藏等地区
蔡巴噶举,中国民族.西藏等地区
拔戎噶举,中国民族.西藏等地区
帕竹噶举,中国民族.西藏等地区
格鲁派,中国民族.西藏等地区
黄教,中国民族.西藏等地区
前弘期,中国民族.西藏等地区
后弘期,中国民族.西藏等地区
上路弘法,中国民族.西藏等地区
下路弘法,中国民族.西藏等地区
六字真言,中国民族.西藏等地区
罗布林卡,中国民族.西藏等地区
布达拉宫,中国民族.西藏等地区
大昭寺,中国民族.西藏等地区
小昭寺,中国民族.西藏等地区
甘丹寺,中国民族.西藏等地区
色拉寺,中国民族.西藏等地区
