word,key
安定,年　号
阳朔,年　号
阳嘉,年　号
收国,年　号
如意,年　号
寿光,年　号
寿昌,年　号
赤乌,年　号
赤符,年　号
孝昌,年　号
孝治,年　号
孝建,年　号
孝基,年　号
更始,年　号
利贞,年　号
应天,年　号
应历(曆),年　号
应运,年　号
应顺,年　号
应乾,年　号
应道,年　号
证圣,年　号
初元,年　号
初历(曆),年　号
初平,年　号
初始,年　号
武义,年　号
武平,年　号
武成,年　号
武定,年　号
武泰,年　号
武烈,年　号
武德,年　号
青龙,年　号
转运,年　号
昌平,年　号
昌达,年　号
昌武,年　号
明圣,年　号
明应,年　号
明启,年　号
明昌,年　号
明治,年　号
明政,年　号
明通,年　号
明道,年　号
明德,年　号
鸣凤,年　号
罗平,年　号
垂拱,年　号
和平,年　号
阜昌,年　号
征和,年　号
金统,年　号
庚子,年　号
炎兴,年　号
法尧,年　号
河平,年　号
河清,年　号
河瑞,年　号
治平,年　号
宝大,年　号
宝义,年　号
宝元,年　号
宝历(曆),年　号
宝正,年　号
宝庆,年　号
宝应,年　号
宝胜,年　号
宝祐,年　号
宝鼎,年　号
定武,年　号
定鼎,年　号
建义,年　号
建元,年　号
建中,年　号
建文,年　号
建世,年　号
建平,年　号
建宁,年　号
建弘,年　号
建贞,年　号
建光,年　号
建兴,年　号
建安,年　号
建极,年　号
建初,年　号
建武,年　号
建昌,年　号
建国,年　号
建明,年　号
建和,年　号
建炎,年　号
建始,年　号
建昭,年　号
建康,年　号
建隆,年　号
建福,年　号
建熙,年　号
建德,年　号
建衡,年　号
建中靖国,年　号
建武中元,年　号
居摄,年　号
始元,年　号
始平,年　号
始光,年　号
始兴,年　号
始建国,年　号
承平,年　号
承玄,年　号
承圣,年　号
承光,年　号
承安,年　号
承明,年　号
承康,年　号
承智,年　号
绍汉,年　号
绍圣,年　号
绍兴,年　号
绍武,年　号
绍定,年　号
绍泰,年　号
绍熙,年　号
政和,年　号
咸丰(豐),年　号
咸平,年　号
咸宁,年　号
咸安,年　号
咸亨,年　号
咸和,年　号
咸通,年　号
咸康,年　号
咸清,年　号
咸淳,年　号
咸雍,年　号
咸熙,年　号
拱化,年　号
显圣,年　号
显庆,年　号
显德,年　号
昭宁,年　号
昭武,年　号
重光,年　号
重和,年　号
重熙,年　号
复汉,年　号
顺义,年　号
顺天,年　号
顺治,年　号
顺德,年　号
保大,年　号
保天,年　号
保立,年　号
保宁,年　号
保安,年　号
保和,年　号
保定,年　号
保德,年　号
皇庆,年　号
皇兴,年　号
皇初,年　号
皇建,年　号
皇始,年　号
皇祐,年　号
皇统,年　号
皇泰,年　号
胜光,年　号
总章,年　号
洪化,年　号
洪武,年　号
洪熙,年　号
洪德,年　号
宣光,年　号
宣和,年　号
宣政,年　号
宣统,年　号
宣德,年　号
神历(曆),年　号
神凤,年　号
神功,年　号
神龙,年　号
神册,年　号
神龟,年　号
神武,年　号
神玺,年　号
神兽,年　号
神鼎,年　号
神瑞,年　号
神嘉,年　号
神加,年　号
神爵,年　号
统和,年　号
秦兴,年　号
泰昌,年　号
泰和,年　号
泰定,年　号
泰始,年　号
泰常,年　号
泰豫,年　号
载初,年　号
真王,年　号
真兴,年　号
致和,年　号
晏平,年　号
造历(曆),年　号
唐隆,年　号
祯明,年　号
祥兴,年　号
调露,年　号
通文,年　号
通正,年　号
绥和,年　号
黄龙,年　号
黄初,年　号
黄武,年　号
乾元,年　号
乾化,年　号
乾宁,年　号
乾贞,年　号
乾兴,年　号
乾亨,年　号
乾明,年　号
乾和,年　号
乾定,年　号
乾封,年　号
乾祐,年　号
乾统,年　号
乾符,年　号
乾隆,年　号
乾道,年　号
乾德,年　号
盛明,年　号
盛德,年　号
崇宁,年　号
崇庆,年　号
崇祯,年　号
崇福,年　号
崇德,年　号
得圣,年　号
康国,年　号
康定,年　号
康熙,年　号
章武,年　号
章和,年　号
竟宁,年　号
清宁,年　号
清泰,年　号
鸿嘉,年　号
淳化,年　号
淳祐,年　号
淳熙,年　号
隆化,年　号
隆庆,年　号
隆兴,年　号
隆安,年　号
隆武,年　号
隆昌,年　号
隆和,年　号
隆绪,年　号
景元,年　号
景云(雲),年　号
景龙,年　号
景平,年　号
景初,年　号
景明,年　号
景和,年　号
景炎,年　号
景定,年　号
景祐,年　号
景泰,年　号
景福,年　号
景德,年　号
景耀,年　号
嵯耶,年　号
鲁兴,年　号
普泰,年　号
普通,年　号
尊圣,年　号
道光,年　号
道隆,年　号
裕民,年　号
祺祥,年　号
登国,年　号
嗣圣,年　号
靖康,年　号
雍正,年　号
雍宁,年　号
雍熙,年　号
福圣承道,年　号
嘉平,年　号
嘉禾,年　号
嘉宁,年　号
嘉会,年　号
嘉庆,年　号
嘉兴,年　号
嘉定,年　号
嘉祐,年　号
嘉泰,年　号
嘉靖,年　号
嘉熙,年　号
熙平,年　号
熙宁,年　号
端平,年　号
端拱,年　号
德兴,年　号
德寿,年　号
德胜,年　号
德祐,年　号
熹平,年　号
燕元,年　号
燕兴,年　号
彝泰,年　号
奲都,年　号
麟嘉,年　号
麟德,年　号
众人,阶级、阶层
畜民,阶级、阶层
人鬲,阶级、阶层
鬲,阶级、阶层
磿,阶级、阶层
讯,阶级、阶层
臣妾,阶级、阶层
百工,阶级、阶层
人有十等,阶级、阶层
皂,阶级、阶层
舆,阶级、阶层
隶,阶级、阶层
僚,阶级、阶层
仆(僕),阶级、阶层
台,阶级、阶层
陪台,阶级、阶层
圉人,阶级、阶层
牧,阶级、阶层
胥靡,阶级、阶层
舂,阶级、阶层
酋,阶级、阶层
隐民,阶级、阶层
诸侯,阶级、阶层
卿大夫,阶级、阶层
家臣,阶级、阶层
四民,阶级、阶层
士,阶级、阶层
士大夫,阶级、阶层
士子,阶级、阶层
百姓,阶级、阶层
民,阶级、阶层
黎民,阶级、阶层
国人,阶级、阶层
野人,阶级、阶层
鄙人,阶级、阶层
君子,阶级、阶层
小人,阶级、阶层
庶人,阶级、阶层
隶农,阶级、阶层
蚕妾,阶级、阶层
庸客,阶级、阶层
庸保,阶级、阶层
黔首,阶级、阶层
宾萌,阶级、阶层
闾左,阶级、阶层
奴产子,阶级、阶层
家生奴,阶级、阶层
市籍,阶级、阶层
良家子,阶级、阶层
苍头,阶级、阶层
庐儿,阶级、阶层
监奴,阶级、阶层
僮,阶级、阶层
家僮,阶级、阶层
僮客,阶级、阶层
家奴,阶级、阶层
私属,阶级、阶层
奴客,阶级、阶层
奴婢,阶级、阶层
臧获,阶级、阶层
徒,阶级、阶层
铁官徒,阶级、阶层
织络,阶级、阶层
赘子,阶级、阶层
赘婿,阶级、阶层
部曲,阶级、阶层
徒附,阶级、阶层
生口,阶级、阶层
客,阶级、阶层
亲信,阶级、阶层
恩信,阶级、阶层
屯田客,阶级、阶层
佃客,阶级、阶层
田客,阶级、阶层
衣食客,阶级、阶层
宾客,阶级、阶层
义附,阶级、阶层
门生,阶级、阶层
附隶,阶级、阶层
属名,阶级、阶层
奴仆(僕),阶级、阶层
奴子,阶级、阶层
门第,阶级、阶层
门阀,阶级、阶层
阀阅,阶级、阶层
士庶,阶级、阶层
士族,阶级、阶层
世族,阶级、阶层
四姓,阶级、阶层
五姓,阶级、阶层
郡望,阶级、阶层
庶族,阶级、阶层
吏姓,阶级、阶层
吏门,阶级、阶层
高门,阶级、阶层
华腴,阶级、阶层
次门,阶级、阶层
望族,阶级、阶层
右姓,阶级、阶层
素族,阶级、阶层
